gid,cat,exsdesc,f_code,f_codedesc,fcodesc,gid_2,id,name_2,type_2,length
"1",1.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,114703.846113845
"2",2.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,64535.4304315022
"3",3.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,48984.655589204
"4",4.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,70421.0134120842
"5",5.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,3334.38529316487
"6",6.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,28942.9692181966
"7",7.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,17316.2271570118
"8",8.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,6105.39851732938
"29",29.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,4516.95213027361
"30",30.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,32827.3200116576
"31",31.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,16567.8755424067
"32",32.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,13542.2972601079
"33",33.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,5634.26844280283
"34",34.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,23659.152456499
"53",53.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,33202.6778295257
"54",54.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,47490.582654316
"55",55.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,93739.9195406929
"56",56.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,155781.187618185
"57",57.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,52548.3087130327
"58",58.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,5678.18437420788
"59",59.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,22445.366011929
"60",60.000000000000000,Operational,AN010,Railroad,Single,"15","15",Matanuska-Susitna,Borough,18945.7360501908
